METRIC,BASE_VALUE,METRIC_TYPE,METRIC_APP,METRIC_PATH,VERYLOW_THRESHOLD,LOW_THRESHOLD,HIGH_THRESHOLD,VERYHIGH_THRESHOLD
dragontailErrorPerc,Derived_Error,SINGLE,N/A,dragontailCalls:dragontailErrors,-0.02,-0.01,0.01,0.02
makelineResponseTime,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMakeline%7CAverage%20Response%20Time%20%28ms%29,-225,-200,200,225
makelineCalls,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMakeline%7CCalls%20per%20Minute,-2,-1,1,2
makelineErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMakeline%7CErrors%20per%20Minute,-2,-1,1,2
makelineErrorPerc,Derived_Error,SINGLE,N/A,makelineCalls:makelineErrors,-0.02,-0.01,0.01,0.02
mappingResponseTime,20,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMapping%7CAverage%20Response%20Time%20%28ms%29,-20,-10,10,20
mappingCalls,227,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMapping%7CCalls%20per%20Minute,-35,-20,20,35
mappingErrors,1,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMapping%7CErrors%20per%20Minute,-20,-10,10,20
mappingErrorPerc,Derived_Error,SINGLE,N/A,mappingCalls:mappingErrors,-0.1,-0.05,0.05,0.1
miscResponseTime,88,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMisc%7CAverage%20Response%20Time%20%28ms%29,-20,-10,10,20
miscCalls,4,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMisc%7CCalls%20per%20Minute,-4,-2,2,4
miscErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CMisc%7CErrors%20per%20Minute,-2,-1,1,2
miscErrorPerc,Derived_Error,SINGLE,N/A,miscCalls:miscErrors,-0.02,-0.01,0.01,0.02
orderentryResponseTime,6,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%7CAverage%20Response%20Time%20%28ms%29,-5,-3,3,5
orderentryCalls,22,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%7CCalls%20per%20Minute,-5,-3,3,5
orderentryErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%7CErrors%20per%20Minute,-2,-1,1,2
orderentryErrorPerc,Derived_Error,SINGLE,N/A,orderentryCalls:orderentryErrors,-0.02,-0.01,0.01,0.02
orderentryBrowseResponseTime,161,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FBrowseOrder%7CAverage%20Response%20Time%20%28ms%29,-30,-20,20,30
orderentryBrowseCalls,27,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FBrowseOrder%7CCalls%20per%20Minute,-7,-5,5,7
orderentryBrowseErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FBrowseOrder%7CErrors%20per%20Minute,-2,-1,1,2
orderentryBrowseErrorPerc,Derived_Error,SINGLE,N/A,orderentryBrowseCalls:orderentryBrowseErrors,-0.02,-0.01,0.01,0.02
orderentryCustomerResponseTime,89,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FCustomer%7CAverage%20Response%20Time%20%28ms%29,-10,-5,5,10
orderentryCustomerCalls,252,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FCustomer%7CCalls%20per%20Minute,-30,-20,20,30
orderentryCustomerErrors,1,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FCustomer%7CErrors%20per%20Minute,-20,-10,10,20
orderentryCustomerErrorPerc,Derived_Error,SINGLE,N/A,orderentryCustomerCalls:orderentryCustomerErrors,-0.1,-0.05,0.05,0.1
orderentryLoyaltyResponseTime,428,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FLoyalty%7CAverage%20Response%20Time%20%28ms%29,-150,-100,100,150
orderentryLoyaltyCalls,3,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FLoyalty%7CCalls%20per%20Minute,-4,-2,2,4
orderentryLoyaltyErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FLoyalty%7CErrors%20per%20Minute,-2,-1,1,2
orderentryLoyaltyErrorPerc,Derived_Error,SINGLE,N/A,orderentryLoyaltyCalls:orderentryLoyaltyErrors,-0.02,-0.01,0.01,0.02
orderentryPaymentResponseTime,76,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FPayment%7CAverage%20Response%20Time%20%28ms%29,-10,-5,5,10
orderentryPaymentCalls,69,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FPayment%7CCalls%20per%20Minute,-10,-5,5,10
orderentryPaymentErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FPayment%7CErrors%20per%20Minute,-2,-1,1,2
